.ты|гес	nom,2pl,comp
.ты|гем	nom,2pl,comp
.ты	nom,2pl
.ды|гес	nom,2pl,comp
.ды|гем	nom,2pl,comp
.ды	nom,2pl
.тылэн|гес	gen,2pl,comp
.тылэн|гем	gen,2pl,comp
.тылэн	gen,2pl
.дылэн|гес	gen,2pl,comp
.дылэн|гем	gen,2pl,comp
.дылэн	gen,2pl
.тылэсь|гес	abl,2pl,comp
.тылэсь|гем	abl,2pl,comp
.тылэсь	abl,2pl
.дылэсь|гес	abl,2pl,comp
.дылэсь|гем	abl,2pl,comp
.дылэсь	abl,2pl
.тылы|гес	dat,2pl,comp
.тылы|гем	dat,2pl,comp
.тылы	dat,2pl
.дылы|гес	dat,2pl,comp
.дылы|гем	dat,2pl,comp
.дылы	dat,2pl
.тытэк|гес	car,2pl,comp
.тытэк|гем	car,2pl,comp
.тытэк	car,2pl
.дытэк|гес	car,2pl,comp
.дытэк|гем	car,2pl,comp
.дытэк	car,2pl
.тыя|гес	adv,2pl,comp
.тыя|гем	adv,2pl,comp
.тыя	adv,2pl
.дыя|гес	adv,2pl,comp
.дыя|гем	adv,2pl,comp
.дыя	adv,2pl
.тылань|гес	app,2pl,comp
.тылань|гем	app,2pl,comp
.тылань	app,2pl
.дылань|гес	app,2pl,comp
.дылань|гем	app,2pl,comp
.дылань	app,2pl
.тэс|гес	acc,2pl,comp
.тэс|гем	acc,2pl,comp
.тэс	acc,2pl
.дэс|гес	acc,2pl,comp
.дэс|гем	acc,2pl,comp
.дэс	acc,2pl
.ыныды|гес	ins,2pl,comp
.ыныды|гем	ins,2pl,comp
.ыныды	ins,2pl
.ады|гес	loc,2pl,comp
.ады|гем	loc,2pl,comp
.ады	loc,2pl
.ады|гес	ill,2pl,comp
.ады|гем	ill,2pl,comp
.ады	ill,2pl
.яды|гес	loc,2pl,comp
.яды|гем	loc,2pl,comp
.яды	loc,2pl
.яды|гес	ill,2pl,comp
.яды|гем	ill,2pl,comp
.яды	ill,2pl
.ысьтыды|гес	el,2pl,comp
.ысьтыды|гем	el,2pl,comp
.ысьтыды	el,2pl
.ысеныды|гес	egr,2pl,comp
.ысеныды|гем	egr,2pl,comp
.ысеныды	egr,2pl
.озяды|гес	term,2pl,comp
.озяды|гем	term,2pl,comp
.озяды	term,2pl
.ытӥды|гес	prol,2pl,comp
.ытӥды|гем	prol,2pl,comp
.ытӥды	prol,2pl
.тӥды|гес	prol,2pl,comp
.тӥды|гем	prol,2pl,comp
.тӥды	prol,2pl
